,2
12,0
12,5
11,3
13,3
12,2
12,2
11,3
12,2
12,2
11,4
13,2
12,0
12,5
11,3
13,3
12,4
11,3
12,3
12,2
12,4
12,4
12,3
12,1
11,5
12,3
13,3
13,5
12,2
12,3
12,2
12,3
11,3
12,2
11,3
12,4
11,2
13,2
12,6
12,5
13,2
12,3
12,3
13,4
12,2
12,4
12,5
10,3
12,0
12,6
12,5
14,2
12,3
11,3
11,4
12,3
12,2
12,4
13,2
11,0
12,5
11,3
13,3
13,3
11,2
13,2
12,3
12,4
12,5
12,3
12,4
11,5
11,4
13,3
13,5
11,4
12,4
12,3
12,3
12,4
12,3
12,5
12,5
10,3
13,2
12,6
12,4
13,3
12,2
12,3
11,3
13,4
12,4
12,5
14,3
13,2
12,5
12,4
13,3
12,4
12,3
12,4
12,3
12,4
12,5
12,2
12,5
12,5
11,4
14,3
12,6
11,3
12,3
12,2
12,3
12,4
12,3
12,3
12,5
12,3
13,2
12,4
12,4
13,2
12,3
12,2
11,4
13,2
12,4
12,5
11,4
12,0
12,6
12,4
13,3
13,4
11,2
12,3
12,2
12,5
12,5
13,3
13,5
12,6
11,4
14,3
13,5
11,3
11,2
12,3
12,3
12,5
13,2
13,5
12,5
10,4
13,3
12,6
11,4
12,3
11,2
12,3
12,4
13,4
12,3
11,4
13,3
12,2
12,7
12,4
13,3
12,2
11,3
13,4
12,2
12,5
12,5
14,3
13,1
11,5
12,4
13,2
13,4
11,1
12,3
12,2
12,4
12,5
13,3
12,1
12,5
11,3
14,3
12,5
11,3
12,3
12,3
12,4
12,4
12,3
12,1
12,5
12,4
13,3
12,6
11,3
11,4
13,2
12,2
12,5
13,3
12,3
12,2
11,4
13,2
12,6
11,3
12,4
12,2
11,3
12,4
13,3
12,4
12,5
11,4
13,1
12,8
12,4
12,4
12,3
11,2
11,4
13,3
13,5
12,5
11,4
12,0
12,5
12,5
14,3
12,4
11,6790
12,4
16,3805
11,3
14,4
13,2
12,8
12,4
13,3
12,2
12,3
12,4
12,3
12,5
12,5
14,4
13,2
12,6
11,4
13,3
13,4
11,3
12,4
12,3
12,4
12,5
13,3
12,0
12,5
11,5
13,2
13,4
11,2
12,3
12,3
12,4
12,5
12,3
12,2
12,5
12,4
14,3
12,6
11,4
12,4
12,2
12,4
12,5
12,3
12,4
12,4
13,5
13,3
12,6
12,0
12,0
12,1
12,0
11,3
12,0
12,2
11,2
11,1
12,0
12,5
11,4
14,1
12,2
11,2
11,2
12,1
11,2
12,2
13,1
12,0
12,5
11,3
12,3
13,4
11,3
13,3
12,1
12,4
12,4
12,2
13,5
12,4
10,2
13,1
12,5
12,2
12,2
12,1
11,2
11,3
13,2
13,3
12,4
14,2
12,3
11,7
12,4
13,2
12,2
11,3
12,4
12,3
12,3
12,4
12,3
12,2
12,5
11,2
13,2
12,2
11,2
11,4
12,1
12,4
11,2
13,2
12,0
11,4
12,2
14,2
13,5
11,4
12,3
11,3
11,3
12,3
12,2
12,4
11,4
12,3
12,1
12,6
12,4
13,2
12,2
13,3
12,4
12,2
12,3
12,3
11,2
12,0
12,5
11,3
14,3
12,2
11,3
11,3
12,2
12,3
12,4
12,3
12,1
11,5
12,3
12,3
13,5
12,4
12,3
12,2
12,3
12,3
11,3
12,4
12,5
10,3
12,2
12,6
12,4
12,3
12,1
11,2
11,2
13,4
12,4
12,5
13,2
12,1
12,4
12,4
13,4
13,3
11,2
12,4
12,2
12,4
12,4
12,2
12,3
12,4
11,3
14,2
12,6
11,4
12,3
13,2
12,3
12,4
12,2
12,3
11,5
9,3
13,3
12,3
